Field=Designator~String~Designator~214|Field=Comment~String~Comment~198|Field=Description~String~Description~300|Field=Manufacturer 1~String~Manufacturer 1~160|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~160|Field=Package / Case~String~Package / Case~160|Field=Supplier 1~String~Supplier 1~160|Field=Supplier Part Number 1~String~Supplier Part Number 1~123|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~OpenRex_V1I1.PrjPcb|ReportField=ProjectFullPath~S:\FEDEVEL\OpenRex\V1I1\OpenRex_V1I1.PrjPcb|ReportField=Title~Component reference BOM For Project [OpenRex_V1I1.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~1027|ReportField=ReportTime~2:28:41 PM|ReportField=ReportDate~1/10/2016|ReportField=ReportDateTime~1/10/2016 2:28:41 PM|ReportField=OutputName~Component reference BOM|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=ClientCompanyName~FEDEVEL Academy|ReportField=ClientContactEmail~robert.feranec@fedevel.com|ReportField=ClientContactName~Robert Feranec|ReportField=ClientWebsite~www.fedevel.com|ReportField=Company~(c) 2016 FEDEVEL|ReportField=NotFitted~|ReportField=Project~OpenRex|ReportField=VersionRevision~V1I1|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~1/10/2016|ReportField=CurrentTime~2:09:28 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~S:\FEDEVEL\OpenRex\V1I1\OpenRex_V1I1 Project.SchDoc|ReportField=DocumentName~OpenRex_V1I1 Project.SchDoc|ReportField=DocumentNumber~31|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~1/6/2016|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=1.07|XCorrection=1.00|YCorrection=1.00|PrintKind=1|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=1000|PaperWidth=1000|Scale=100|PaperSource=7|PrintQuality=600|MediaType=1|DitherType=10|PaperKind=A3|PrintScaleMode=1|ReportField=ProjectName~OpenRex_V1I1.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~31|ReportField=SheetTotal~31|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~OpenRex_V1I1.PrjPcb|ReportField=DataSourceFullPath~S:\FEDEVEL\OpenRex\V1I1\OpenRex_V1I1.PrjPcb
C1|220n|CAP CER 0.22UF 6.3V 20% X5R 0201|TDK Corporation|C0603X5R0J224M030BB|0201 (0603 Metric)|Digi-Key|445-5929-1-ND
C2|220n|CAP CER 0.22UF 6.3V 20% X5R 0201|TDK Corporation|C0603X5R0J224M030BB|0201 (0603 Metric)|Digi-Key|445-5929-1-ND
C3|220n|CAP CER 0.22UF 6.3V 20% X5R 0201|TDK Corporation|C0603X5R0J224M030BB|0201 (0603 Metric)|Digi-Key|445-5929-1-ND
C4|220n|CAP CER 0.22UF 6.3V 20% X5R 0201|TDK Corporation|C0603X5R0J224M030BB|0201 (0603 Metric)|Digi-Key|445-5929-1-ND
C5|220n|CAP CER 0.22UF 6.3V 20% X5R 0201|TDK Corporation|C0603X5R0J224M030BB|0201 (0603 Metric)|Digi-Key|445-5929-1-ND
C6|220n|CAP CER 0.22UF 6.3V 20% X5R 0201|TDK Corporation|C0603X5R0J224M030BB|0201 (0603 Metric)|Digi-Key|445-5929-1-ND
C7|100n|CAP CER 0.1UF 16V 10% X5R 0201|TDK Corporation|C0603X5R1C104K030BC|0201 (0603 Metric)|Digi-Key|445-7313-1-ND
C8|220n|CAP CER 0.22UF 6.3V 20% X5R 0201|TDK Corporation|C0603X5R0J224M030BB|0201 (0603 Metric)|Digi-Key|445-5929-1-ND
C9|220n|CAP CER 0.22UF 6.3V 20% X5R 0201|TDK Corporation|C0603X5R0J224M030BB|0201 (0603 Metric)|Digi-Key|445-5929-1-ND
C10|220n|CAP CER 0.22UF 6.3V 20% X5R 0201|TDK Corporation|C0603X5R0J224M030BB|0201 (0603 Metric)|Digi-Key|445-5929-1-ND
C11|220n|CAP CER 0.22UF 6.3V 20% X5R 0201|TDK Corporation|C0603X5R0J224M030BB|0201 (0603 Metric)|Digi-Key|445-5929-1-ND
C12|220n|CAP CER 0.22UF 6.3V 20% X5R 0201|TDK Corporation|C0603X5R0J224M030BB|0201 (0603 Metric)|Digi-Key|445-5929-1-ND
C13|100n|CAP CER 0.1UF 16V 10% X5R 0201|TDK Corporation|C0603X5R1C104K030BC|0201 (0603 Metric)|Digi-Key|445-7313-1-ND
C14|100n|CAP CER 0.1UF 16V 10% X5R 0201|TDK Corporation|C0603X5R1C104K030BC|0201 (0603 Metric)|Digi-Key|445-7313-1-ND
C15|100n|CAP CER 0.1UF 16V 10% X5R 0201|TDK Corporation|C0603X5R1C104K030BC|0201 (0603 Metric)|Digi-Key|445-7313-1-ND
C16|100n|CAP CER 0.1UF 16V 10% X5R 0201|TDK Corporation|C0603X5R1C104K030BC|0201 (0603 Metric)|Digi-Key|445-7313-1-ND
C17|100n|CAP CER 0.1UF 16V 10% X5R 0201|TDK Corporation|C0603X5R1C104K030BC|0201 (0603 Metric)|Digi-Key|445-7313-1-ND
